data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', '592F[4.00,0.00,0.00]=4.99', '5B01[4.00,4.00,0.00]=5.57', 'CD37[0.00,0.00,0.00]=0.00', '1495[0.00,4.00,0.00]=3.98', 'le_us=5554', 'est[0.02,-0.11,-0.03,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.02', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.50', 'le_us=5859', 'est[0.04,-0.15,-0.05,72]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.21', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.45', 'le_us=6103', 'est[0.05,-0.24,-0.06,74]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.93', '1495[0.00,4.00,0.00]=3.95']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.13', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.44', 'le_us=6134', 'est[0.07,-0.27,-0.07,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.92', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.58', 'le_us=5523', 'est[0.06,-0.22,-0.07,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.80', '1495[0.00,4.00,0.00]=3.97']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.38', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.59', 'le_us=5523', 'est[0.05,-0.19,-0.05,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.72', '1495[0.00,4.00,0.00]=4.02']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.00', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.64', 'le_us=4241', 'est[0.03,-0.14,-0.04,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.83', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.53']"
"['5B01[4.00,4.00,0.00]=5.62', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.01', '1495[0.00,4.00,0.00]=3.98', 'le_us=5096', 'est[0.02,-0.12,-0.04,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.58']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.18', '1495[0.00,4.00,0.00]=3.96']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.86', '1495[0.00,4.00,0.00]=3.90', '5B01[4.00,4.00,0.00]=5.55', 'le_us=5523', 'est[0.02,-0.09,-0.06,14]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.87', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.59', 'le_us=5767', 'est[0.02,-0.09,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.11', '1495[0.00,4.00,0.00]=4.03', '5B01[4.00,4.00,0.00]=5.54']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.14', '1495[0.00,4.00,0.00]=3.95']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.02', '5B01[4.00,4.00,0.00]=5.50']"
"['5B01[4.00,4.00,0.00]=5.62', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.94', '1495[0.00,4.00,0.00]=3.99', 'le_us=3570', 'est[0.01,-0.09,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.02', '5B01[4.00,4.00,0.00]=5.61', 'le_us=4150', 'est[-0.00,-0.06,-0.02,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.02', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.63', 'le_us=5493', 'est[-0.00,-0.07,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.79', '1495[0.00,4.00,0.00]=3.97']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.98', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.51', 'le_us=3784', 'est[0.01,-0.15,-0.03,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.17', '1495[0.00,4.00,0.00]=3.93', '5B01[4.00,4.00,0.00]=5.63', 'le_us=5554', 'est[-0.01,-0.12,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.04', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5554', 'est[0.00,-0.11,-0.04,63]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.00', '1495[0.00,4.00,0.00]=4.00', '5B01[4.00,4.00,0.00]=5.55', 'le_us=3753', 'est[0.01,-0.15,-0.04,73]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.15', '1495[0.00,4.00,0.00]=4.07', '5B01[4.00,4.00,0.00]=5.57']"
"['5B01[4.00,4.00,0.00]=5.55', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=5.37', '1495[0.00,4.00,0.00]=3.97', 'le_us=6744', 'est[0.02,-0.16,-0.06,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.94', '1495[0.00,4.00,0.00]=3.94', '5B01[4.00,4.00,0.00]=5.58', 'le_us=5523', 'est[0.02,-0.13,-0.06,45]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.57']"
"['5B01[4.00,4.00,0.00]=5.59', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.19', '1495[0.00,4.00,0.00]=3.97', 'le_us=6530', 'est[0.02,-0.11,-0.07,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.30', '1495[0.00,4.00,0.00]=3.97', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5554', 'est[0.03,-0.10,-0.06,68]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.91', '1495[0.00,4.00,0.00]=4.09', '5B01[4.00,4.00,0.00]=5.53']"
"['5B01[4.00,4.00,0.00]=5.60', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.99', '1495[0.00,4.00,0.00]=4.00', 'le_us=3265', 'est[0.01,-0.07,-0.04,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.93', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.57']"
"['5B01[4.00,4.00,0.00]=5.60', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.90', '1495[0.00,4.00,0.00]=3.95', 'le_us=6500', 'est[0.00,-0.06,-0.05,49]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.05', '1495[0.00,4.00,0.00]=4.01', '5B01[4.00,4.00,0.00]=5.61']"
"['5B01[4.00,4.00,0.00]=5.66', 'CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.91', '1495[0.00,4.00,0.00]=4.00', 'le_us=5401', 'est[-0.00,-0.07,-0.04,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.03', '1495[0.00,4.00,0.00]=3.99', '5B01[4.00,4.00,0.00]=5.58', 'le_us=5523', 'est[0.01,-0.08,-0.03,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.86', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=5.54', 'le_us=5706', 'est[0.02,-0.10,-0.05,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.78', '1495[0.00,4.00,0.00]=3.98', '5B01[4.00,4.00,0.00]=5.57', 'le_us=5401', 'est[0.03,-0.09,-0.04,70]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.97', '1495[0.00,4.00,0.00]=3.96', '5B01[4.00,4.00,0.00]=5.58', 'le_us=3173', 'est[0.01,-0.06,-0.01,71]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=3.96', '1495[0.00,4.00,0.00]=3.95', '5B01[4.00,4.00,0.00]=5.57', 'le_us=3356', 'est[-0.01,-0.04,0.01,59]']"
"['CD37[0.00,0.00,0.00]=0.00', '592F[4.00,0.00,0.00]=4.06', '1495[0.00,4.00,0.00]=4.03', '5B01[4.00,4.00,0.00]=5.56']"
