data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.14', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3051', 'est[0.85,0.44,-0.01,56]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3051', 'est[0.86,0.45,0.06,57]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.20', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.72', 'le_us=2777', 'est[0.86,0.45,0.12,57]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.20', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.77', 'le_us=2807', 'est[0.85,0.45,0.16,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.16', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.68', 'le_us=3082', 'est[0.87,0.43,-0.01,58]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.20', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.72', 'le_us=2777', 'est[0.87,0.44,0.08,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.21', '1495[0.00,4.00,0.00]=3.69', '5B01[4.00,4.00,0.00]=4.77', 'le_us=2807', 'est[0.86,0.44,0.15,58]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3051', 'est[0.87,0.44,0.14,56]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2746', 'est[0.87,0.44,0.15,57]']"
"['CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.68', 'le_us=2746', 'est[0.87,0.44,0.21,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.16', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.68', 'le_us=3234', 'est[0.89,0.43,0.03,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.78', 'le_us=3082', 'est[0.89,0.44,0.07,56]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.22', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.68', 'le_us=3295', 'est[0.90,0.42,-0.08,58]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3051', 'est[0.90,0.41,-0.20,58]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3234', 'est[0.90,0.42,-0.14,56]']"
