data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.14', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3112', 'est[0.88,0.44,0.09,58]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.72', '5B01[4.00,4.00,0.00]=4.78', 'le_us=2746', 'est[0.88,0.43,0.15,58]']"
"['CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.22', '1495[0.00,4.00,0.00]=3.73', '5B01[4.00,4.00,0.00]=4.70', 'le_us=2838', 'est[0.87,0.42,0.24,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.21', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.76', 'le_us=2746', 'est[0.86,0.42,0.29,57]']"
"['CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.14', '1495[0.00,4.00,0.00]=3.70', '5B01[4.00,4.00,0.00]=4.70', 'le_us=2746', 'est[0.87,0.43,0.30,57]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.73', '5B01[4.00,4.00,0.00]=4.70', 'le_us=2807', 'est[0.88,0.42,0.33,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.75', 'le_us=2807', 'est[0.87,0.43,0.33,57]']"
"['CD37[0.00,0.00,0.00]=1.09', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.70', '5B01[4.00,4.00,0.00]=4.79', 'le_us=3082', 'est[0.88,0.43,0.37,57]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.76', 'le_us=2777', 'est[0.87,0.44,0.37,57]']"
"['CD37[0.00,0.00,0.00]=1.08', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.70', '5B01[4.00,4.00,0.00]=4.74', 'le_us=2716', 'est[0.89,0.44,0.37,57]']"
"['CD37[0.00,0.00,0.00]=1.08', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2777', 'est[0.89,0.45,0.38,56]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.71', '5B01[4.00,4.00,0.00]=4.74', 'le_us=2746', 'est[0.88,0.44,0.39,58]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.70', '5B01[4.00,4.00,0.00]=4.69', 'le_us=3234', 'est[0.86,0.45,0.43,57]']"
"['CD37[0.00,0.00,0.00]=1.08', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.58', '5B01[4.00,4.00,0.00]=4.74', 'le_us=3021', 'est[0.87,0.47,0.40,55]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3051', 'est[0.87,0.47,0.34,56]']"
"['CD37[0.00,0.00,0.00]=1.10', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.73', '5B01[4.00,4.00,0.00]=4.69', 'le_us=2746', 'est[0.88,0.46,0.36,57]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.23', '1495[0.00,4.00,0.00]=3.69', '5B01[4.00,4.00,0.00]=4.75', 'le_us=2777', 'est[0.87,0.45,0.39,58]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.74', 'le_us=3051', 'est[0.87,0.46,0.35,56]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.82', 'le_us=3784', 'est[0.87,0.46,0.41,57]']"
"['CD37[0.00,0.00,0.00]=1.07', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.77', 'le_us=2746', 'est[0.87,0.45,0.41,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.20', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2746', 'est[0.86,0.46,0.39,57]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.69', 'le_us=3418', 'est[0.88,0.43,0.17,58]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.16', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.70', 'le_us=2746', 'est[0.88,0.45,0.20,56]']"
"['CD37[0.00,0.00,0.00]=1.08', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.62', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3082', 'est[0.88,0.46,0.24,56]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3112', 'est[0.89,0.46,0.22,56]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.21', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3051', 'est[0.89,0.44,0.03,58]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.21', '1495[0.00,4.00,0.00]=3.61', '5B01[4.00,4.00,0.00]=4.69', 'le_us=2807', 'est[0.88,0.46,0.11,56]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3021', 'est[0.88,0.46,0.17,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.72', 'le_us=2990', 'est[0.89,0.46,0.17,56]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.77', 'le_us=2777', 'est[0.88,0.46,0.23,57]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.74', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2838', 'est[0.89,0.44,0.27,58]']"
"['CD37[0.00,0.00,0.00]=1.08', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.71', '5B01[4.00,4.00,0.00]=4.76', 'le_us=2777', 'est[0.89,0.44,0.30,57]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.77', 'le_us=3021', 'est[0.89,0.44,0.31,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2777', 'est[0.88,0.44,0.32,57]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.74', '5B01[4.00,4.00,0.00]=4.70', 'le_us=2777', 'est[0.88,0.43,0.35,58]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.68', 'le_us=2746', 'est[0.88,0.44,0.35,56]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.77', 'le_us=3051', 'est[0.88,0.45,0.31,56]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.69', '5B01[4.00,4.00,0.00]=4.72', 'le_us=2716', 'est[0.88,0.45,0.32,57]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.72', '5B01[4.00,4.00,0.00]=4.72', 'le_us=2746', 'est[0.89,0.44,0.32,57]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.19', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.70', 'le_us=2746', 'est[0.88,0.44,0.34,57]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.71', 'le_us=2777', 'est[0.88,0.45,0.34,56]']"
"['CD37[0.00,0.00,0.00]=1.08', '592F[4.00,0.00,0.00]=3.17', '1495[0.00,4.00,0.00]=3.68', '5B01[4.00,4.00,0.00]=4.66', 'le_us=2746', 'est[0.88,0.45,0.36,57]']"
