data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.03', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.81', 'le_us=4241', 'est[0.87,0.39,0.16,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3631', 'est[0.88,0.39,-0.01,58]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.62', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3540', 'est[0.86,0.37,-0.17,57]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3662', 'est[0.87,0.39,-0.02,57]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3662', 'est[0.87,0.39,-0.14,58]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3784', 'est[0.88,0.40,0.02,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.04', '1495[0.00,4.00,0.00]=3.58', '5B01[4.00,4.00,0.00]=4.80', 'le_us=4028', 'est[0.89,0.42,0.12,56]']"
"['CD37[0.00,0.00,0.00]=0.97', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3784', 'est[0.89,0.42,0.21,58]']"
"['CD37[0.00,0.00,0.00]=0.98', '592F[4.00,0.00,0.00]=3.08', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.74', 'le_us=3753', 'est[0.89,0.42,0.27,57]']"
"['CD37[0.00,0.00,0.00]=0.97', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.64', 'le_us=3662', 'est[0.89,0.42,0.30,57]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3753', 'est[0.88,0.43,0.35,57]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3265', 'est[0.90,0.43,0.29,56]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.05', '1495[0.00,4.00,0.00]=3.61', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3540', 'est[0.90,0.43,0.34,57]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.61', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3570', 'est[0.90,0.44,0.40,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.62', '5B01[4.00,4.00,0.00]=4.68', 'le_us=3784', 'est[0.89,0.43,0.16,58]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.58', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3967', 'est[0.90,0.44,0.24,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.05', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3753', 'est[0.90,0.43,0.30,58]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3753', 'est[0.89,0.42,0.36,58]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3570', 'est[0.86,0.40,0.12,59]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.04', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.77', 'le_us=3784', 'est[0.88,0.41,0.22,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3295', 'est[0.86,0.41,0.09,58]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.56', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3753', 'est[0.86,0.43,0.19,57]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.74', 'le_us=3021', 'est[0.88,0.44,0.19,56]']"
