data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.62', '5B01[4.00,4.00,0.00]=4.72', 'le_us=3540', 'est[0.83,0.40,-0.12,57]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.74', 'le_us=3326', 'est[0.83,0.39,-0.19,58]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3540', 'est[0.84,0.41,0.01,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.18', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3082', 'est[0.85,0.43,0.06,56]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3540', 'est[0.83,0.40,-0.12,57]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3295', 'est[0.83,0.39,-0.19,59]']"
"['CD37[0.00,0.00,0.00]=1.03', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3326', 'est[0.83,0.40,-0.22,58]']"
"['CD37[0.00,0.00,0.00]=1.05', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.84', 'le_us=3570', 'est[0.85,0.42,-0.12,56]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.15', '1495[0.00,4.00,0.00]=3.60', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3448', 'est[0.85,0.43,0.06,57]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.16', '1495[0.00,4.00,0.00]=3.69', '5B01[4.00,4.00,0.00]=4.73', 'le_us=2777', 'est[0.86,0.43,0.14,57]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.13', '1495[0.00,4.00,0.00]=3.61', '5B01[4.00,4.00,0.00]=4.81', 'le_us=3448', 'est[0.86,0.43,0.24,58]']"
"['CD37[0.00,0.00,0.00]=1.04', '592F[4.00,0.00,0.00]=3.09', '1495[0.00,4.00,0.00]=3.66', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3295', 'est[0.86,0.42,0.06,58]']"
